name	A549_WT_01dex_A	A549_WT_01dex_B	A549_WT_0dex_A	A549_WT_0dex_B	A549_WT_100dex_A	A549_WT_100dex_B	U20S_WT_01dex_A	U20S_WT_01dex_B	U20S_WT_0dex_A	U20S_WT_0dex_B	U20S_WT_100dex_A	U20S_WT_100dex_B	length
7899	ISOC1	34	123	37	116	49	52	82	92	41	93	46	108	19281
7900	ISOC2	118	391	163	376	225	229	129	184	107	206	47	162	8706
7901	ISPD	201	581	213	530	343	352	316	349	130	351	107	258	333797
7902	IST1	203	630	217	631	381	385	507	639	222	794	183	495	35148
7903	ISX	0	0	0	0	0	0	1	1	1	0	2	0	21253
7904	ISY1	310	602	320	719	378	442	362	418	255	489	177	425	33816
7905	ISY1-RAB43	506	1263	582	1302	680	849	841	1118	612	1231	361	869	73663
7906	ISYNA1	44	147	71	158	61	94	61	98	51	126	33	78	2923
7907	ITCH	716	1810	601	1823	1003	1171	1453	1730	752	2184	505	1524	148540
7908	ITFG1	595	1865	577	1688	938	1119	735	867	343	882	317	830	306889
7909	ITFG2	94	224	95	209	136	146	196	251	89	252	57	255	12452
7910	ITGA1	273	736	283	755	405	478	318	359	183	396	123	368	165355
7911	ITGA10	56	210	53	197	179	290	105	92	60	99	39	86	18983
7912	ITGA11	161	340	182	417	187	178	113	98	62	88	72	120	130451
7913	ITGA2	1142	2913	1026	3002	1373	1740	76	70	56	92	40	64	105455
7914	ITGA2B	46	135	70	175	67	95	118	123	72	157	32	100	17422
7915	ITGA3	1274	3468	1250	3285	1218	1199	1011	1024	1096	1918	173	532	34519
7916	ITGA4	2	5	2	6	2	3	16	11	5	15	5	8	19328
7917	ITGA5	312	591	292	601	800	562	385	419	245	482	155	296	24007
7918	ITGA6	129	461	117	427	227	348	418	432	196	466	263	546	78902
7919	ITGA7	12	30	9	30	15	13	83	89	69	108	20	46	23336
7920	ITGA8	0	2	0	2	2	1	5	7	3	5	11	21	206388
7921	ITGA9	20	38	17	38	32	29	76	78	30	68	44	108	367470
7922	ITGAD	5	26	6	19	18	14	4	8	6	11	3	3	33195
7923	ITGAE	273	793	389	896	526	651	272	340	206	400	115	306	86620
7924	ITGAL	11	12	11	15	13	6	4	1	1	0	0	1	50525
7925	ITGAM	32	83	38	103	55	63	19	37	10	36	6	31	72927
7926	ITGAV	331	774	286	694	1075	931	629	842	206	561	430	1563	80699
7927	ITGAX	189	361	210	337	243	179	6	9	7	9	3	9	27865
7928	ITGB1	836	2004	745	1996	894	942	1413	1895	622	1511	1043	3044	35242
7929	ITGB1BP1	180	493	230	463	363	402	438	500	298	494	157	401	16981
7930	ITGB1BP2	35	167	45	131	58	102	100	136	50	173	49	118	3639
7931	ITGB2	67	232	65	225	85	136	53	72	37	73	30	84	35011
7932	ITGB3	345	643	326	595	459	392	182	167	111	267	27	127	58871
7933	ITGB3BP	75	262	71	294	105	164	397	462	176	471	150	510	73817
7934	ITGB4	361	1053	408	989	1543	1982	183	204	125	211	77	190	33124
7935	ITGB5	2131	6646	1951	6008	4374	5468	2374	3085	1078	2416	919	2584	125359
7936	ITGB6	34	57	29	58	73	24	11	9	3	11	5	8	100649
7937	ITGB7	17	36	19	43	13	28	35	30	28	43	7	20	15991
7938	ITGB8	141	423	124	403	218	249	962	800	344	664	306	639	84659
7939	ITGBL1	14	15	12	30	25	16	906	802	417	844	387	928	226496
7940	ITIH1	0	2	0	0	1	0	0	0	0	0	0	0	12144
7941	ITIH2	178	438	159	412	312	253	1	0	1	2	2	1	46249
7942	ITIH3	0	0	0	0	0	0	1	1	3	0	10	35	14243
7943	ITIH4	58	145	56	123	77	96	82	76	39	74	34	88	17713
7944	ITIH5	16	62	19	58	21	43	16	9	4	13	2	11	48270
7945	ITIH6	4	11	3	12	2	4	8	8	5	6	6	4	49343
7946	ITK	13	15	7	8	20	10	84	57	13	53	22	57	74205
7947	ITLN1	0	0	0	0	0	0	0	1	0	0	0	1	8632
7948	ITLN2	3	9	1	2	16	6	1	3	1	1	4	7	9775
7949	ITM2A	0	0	0	0	1	0	0	1	0	0	0	0	7170
7950	ITM2B	149	449	157	397	148	202	242	258	81	273	116	321	28960
7951	ITM2C	26	135	55	120	65	64	137	140	65	199	59	161	14306
7952	ITPA	246	765	285	714	457	553	150	248	136	330	76	286	14512
7953	ITPK1	0	0	0	1	0	0	0	0	0	0	0	0	176198
7954	ITPKA	26	58	19	50	78	85	93	123	36	44	131	245	9703
7955	ITPKB	204	580	229	578	437	459	208	212	127	296	75	240	107487
7956	ITPKC	243	717	230	689	510	638	519	665	204	311	248	524	23759
7957	ITPR1	217	599	216	612	280	390	1261	1462	597	1516	566	1646	354494
7958	ITPR2	755	1645	737	1500	1245	1078	601	768	284	629	359	1019	497863
7959	ITPR3	888	2337	986	2366	1298	1636	372	450	265	466	198	508	75197
7960	ITPRIP	562	1335	601	1202	1044	1395	303	430	209	400	176	444	19298
7961	ITPRIPL1	0	0	0	0	0	0	0	0	0	0	0	0	2148
7962	ITPRIPL2	202	526	197	500	227	292	189	215	146	304	52	155	7700
7963	ITSN1	428	997	334	968	702	792	1505	1843	661	1764	624	1914	196022
7964	ITSN2	364	985	388	1064	573	680	425	462	286	618	159	470	121557
7965	IVD	155	397	147	416	239	244	306	364	199	485	148	321	15518
7966	IVL	0	2	0	1	0	0	3	2	0	1	2	7	3343
7967	IVNS1ABP	396	936	500	1075	676	576	666	756	348	896	293	737	20943
7968	IWS1	261	731	275	710	480	468	1228	1251	510	1297	498	1342	45706
7969	IYD	14	15	5	8	15	5	8	10	1	8	7	25	35739
7970	IZUMO1	5	8	7	16	3	7	50	56	27	65	26	43	5046
7971	IZUMO1R	0	1	1	1	0	1	0	1	1	1	0	0	2057
7972	IZUMO2	0	0	0	0	1	1	0	0	0	0	0	2	10735
7973	IZUMO3	0	0	0	0	0	0	0	0	0	0	0	0	2463
7974	IZUMO4	2	10	4	4	1	6	3	2	2	4	1	2	2717
7975	JADE1	697	1941	549	1579	1643	1745	901	1046	379	973	277	683	52790
7976	JADE2	1231	3894	1358	3730	2501	2925	730	875	383	862	212	510	57124
7977	JADE3	181	571	174	529	263	323	327	374	192	443	101	327	148811
7978	JAG1	707	2112	838	2353	1445	1573	570	691	173	314	334	778	36364
7979	JAG2	132	350	173	451	193	231	40	52	30	75	22	43	27845
7980	JAGN1	136	286	113	265	228	231	236	255	76	257	93	222	3764
7981	JAK1	1826	4468	1634	4074	4101	4724	896	1185	423	1078	860	2254	133348
7982	JAK2	203	583	214	618	260	327	153	183	79	206	69	197	86492
7983	JAK3	53	141	65	150	56	71	61	79	32	69	9	66	23252
7984	JAKMIP1	1	11	11	9	13	4	20	18	13	26	14	32	140866
7985	JAKMIP2	5	2	1	2	4	1	530	605	205	509	329	686	197411
7986	JAKMIP3	635	1804	783	1756	849	1085	63	100	65	104	49	100	118844
7987	JAM2	2	2	0	5	4	1	136	156	79	209	41	105	75293
7988	JAM3	6	20	11	22	8	14	101	134	50	148	43	107	82834
7989	JAML	8	20	9	26	17	16	1	0	0	2	0	0	19634
7990	JARID2	674	2200	770	2122	1163	1434	1256	1646	657	1840	618	1691	273189
7991	JAZF1	422	1016	462	1018	750	655	808	974	454	1230	308	977	350247
7992	JCAD	416	1029	382	1036	1298	1236	216	301	81	174	110	300	46788
7993	JCHAIN	2	3	1	2	0	3	0	0	0	0	0	0	11092
7994	JDP2	507	1378	458	1153	767	875	700	709	464	887	215	473	40569
7995	JHY	45	94	51	124	70	81	22	17	18	21	15	44	23366
7996	JKAMP	94	314	91	316	166	154	264	267	127	349	72	225	20966
7997	JMJD1C	520	1368	416	1265	646	641	1452	1970	628	2204	399	1320	102004
7998	JMJD4	116	325	142	420	194	268	122	208	101	181	67	234	4224
7999	JMJD6	147	415	245	468	246	341	185	234	183	309	99	204	8359
8000	JMJD7	61	113	71	136	97	100	109	147	58	154	54	153	9504
8001	JMJD7-PLA2G4B	115	266	123	282	174	217	177	244	124	256	93	263	20065
8002	JMJD8	185	508	253	669	404	440	161	166	95	201	99	197	2774
8003	JMY	293	721	312	775	469	548	181	212	86	243	51	216	91115
8004	JOSD1	231	691	251	692	342	438	382	407	202	478	96	329	15401
8005	JOSD2	160	392	172	362	288	293	248	300	85	194	154	417	5164
8006	JPH1	4	9	3	12	11	5	185	247	83	267	77	286	86663
8007	JPH2	70	156	57	145	436	359	438	628	104	285	226	660	10763
8008	JPH3	1	3	2	5	5	4	27	22	18	33	7	27	1763
8009	JPH4	1	4	0	0	0	0	161	132	136	184	219	493	10767
8010	JPT1	183	678	202	640	282	359	755	1141	545	1498	214	680	18052
8011	JPT2	449	1281	490	1192	924	1090	800	1144	475	1354	296	942	23797
8012	JRK	202	630	251	653	411	501	825	1146	388	933	427	1230	12536
8013	JRKL	27	110	34	91	53	84	53	75	21	82	17	62	3571
8014	JSRP1	0	1	0	2	0	0	0	0	0	0	0	0	4174
8015	JTB	250	539	440	612	430	594	245	246	199	329	93	269	3708
8016	JUN	453	752	671	891	446	393	1313	1083	774	1397	503	962	3324
8017	JUNB	190	440	348	645	351	379	124	229	159	379	29	118	1817
8018	JUND	285	609	400	757	374	461	304	423	210	390	198	344	1964
8019	JUP	1099	3510	1347	3888	981	1369	83	107	102	197	40	59	31490
8020	KAAG1	8	22	6	32	7	22	0	0	0	0	0	0	1383
8021	KANK1	183	381	191	486	260	346	99	134	42	103	111	241	39431
8022	KANK2	165	426	160	391	333	407	190	225	156	334	70	200	30325
8023	KANK3	43	161	65	186	128	142	79	53	38	63	29	50	20680
8024	KANK4	1	3	2	3	4	5	8	20	6	13	13	26	83249
8025	KANSL1	0	1	0	0	0	0	0	0	0	0	0	0	162886
8026	KANSL1L	274	700	235	717	401	445	794	1006	424	1096	373	1082	149951
8027	KANSL2	246	740	254	818	414	470	458	653	216	651	236	573	29043
8028	KANSL3	324	1022	451	1010	504	636	559	754	354	763	211	644	38728
8029	KARS	215	660	374	666	318	514	647	809	321	767	234	798	19965
8030	KAT14	179	706	204	603	316	441	153	204	70	186	82	207	46165
8031	KAT2A	319	902	377	931	504	624	240	346	225	425	133	410	8255
8032	KAT2B	80	292	79	262	134	213	133	150	90	196	53	147	114374
8033	KAT5	262	625	254	671	373	429	389	460	244	527	171	428	7606
8034	KAT6A	501	1336	585	1464	778	963	511	600	335	800	164	567	109979
8035	KAT6B	452	1263	442	1223	660	808	1043	1253	541	1461	359	1049	206211
8036	KAT7	251	875	245	781	457	471	535	625	244	645	176	560	40479
8037	KAT8	169	479	173	432	302	378	243	405	115	318	130	380	13731
8038	KATNA1	95	281	187	277	163	206	291	354	210	409	148	346	53933
8039	KATNAL1	162	461	181	521	326	323	546	678	296	926	133	374	104426
8040	KATNAL2	57	172	45	157	94	95	12	18	11	21	7	19	152154
8041	KATNB1	176	513	240	552	215	279	171	219	117	291	56	197	21504
8042	KATNBL1	377	1088	336	1029	643	688	460	612	239	635	201	541	69424
8043	KAZALD1	65	243	99	275	93	160	140	200	144	301	34	108	4354
8044	KAZN	74	211	84	180	109	121	758	941	520	1189	216	733	122238
8045	KBTBD11	0	0	0	0	0	0	0	0	0	0	0	0	33067
8046	KBTBD12	0	1	1	2	1	1	2	2	0	3	0	2	64614
8047	KBTBD13	1	3	0	1	1	3	0	0	0	0	0	0	3124
8048	KBTBD2	288	856	307	900	467	540	694	864	405	911	300	792	23692
8049	KBTBD3	29	148	73	143	85	105	62	66	40	82	40	129	26642
8050	KBTBD4	60	212	69	187	107	131	200	130	91	180	86	141	6576
8051	KBTBD6	31	112	49	121	39	93	49	53	19	45	13	56	5229
8052	KBTBD7	32	99	46	101	87	93	61	47	33	75	27	63	4752
8053	KBTBD8	2	12	6	17	7	7	9	21	14	34	8	36	12909
8054	KCMF1	694	1831	605	1799	1501	1491	1346	1492	432	1260	471	1291	88366
8055	KCNA1	0	0	0	0	0	0	0	3	2	1	0	1	8351
8056	KCNA10	0	0	0	0	0	1	2	4	2	7	1	7	1960
8057	KCNA2	1	1	0	0	1	0	5	6	4	6	0	4	3201
8058	KCNA3	0	0	0	0	0	0	7	7	6	12	7	13	2583
8059	KCNA4	0	1	1	0	0	0	34	21	4	6	33	44	7291
8060	KCNA5	0	0	0	0	0	0	1	3	0	0	6	14	2871
8061	KCNA6	0	0	1	2	0	1	52	69	37	96	13	60	41938
8062	KCNA7	0	1	1	2	0	0	0	1	0	0	0	1	5525
8063	KCNAB1	0	4	2	1	2	4	15	9	8	5	7	23	247717
8064	KCNAB2	351	906	342	892	484	591	228	313	172	338	124	318	55081
8065	KCNAB3	143	394	139	365	238	299	137	148	104	184	58	120	7578
8066	KCNB1	8	42	7	31	42	52	415	639	142	397	181	583	118769
8067	KCNB2	0	0	1	0	1	0	27	55	18	66	12	58	400960
8068	KCNC1	3	7	8	12	5	8	21	18	14	36	5	25	41884
8069	KCNC2	0	7	0	1	1	1	8	13	5	13	3	6	169672
8070	KCNC3	169	356	241	426	260	286	382	528	388	665	154	525	13871
8071	KCNC4	33	104	37	99	53	67	81	75	81	167	26	61	23340
8072	KCND1	90	269	116	332	134	212	109	124	91	200	38	90	10468
8073	KCND2	1	3	0	3	0	1	7	5	1	9	5	7	476667
8074	KCND3	1	7	3	3	1	3	221	190	111	195	63	128	213325
8075	KCNE1	0	0	0	0	0	0	0	0	0	0	0	0	9123
8076	KCNE1B	0	0	0	0	0	0	0	0	0	1	0	0	12957
8077	KCNE2	1	0	0	0	0	0	1	2	1	2	4	6	7119
8078	KCNE3	6	5	6	11	11	6	0	0	0	0	1	0	12716
8079	KCNE4	3	5	7	7	7	3	6	4	3	9	4	6	3709
8080	KCNE5	32	78	57	100	59	80	3	9	0	5	1	6	1470
8081	KCNF1	3	16	3	13	2	7	3	1	1	4	0	5	2290
8082	KCNG1	89	197	106	178	297	322	786	1069	459	777	1056	2700	19484
8083	KCNG2	0	1	0	5	0	3	33	30	18	37	29	111	36150
8084	KCNG3	57	170	50	196	88	125	75	98	41	126	34	92	52082
8085	KCNG4	5	38	9	41	21	33	3	7	3	12	1	5	18617
8086	KCNH1	605	1339	668	1417	926	712	71	112	53	123	33	107	455802
8087	KCNH2	3	4	1	9	3	7	19	34	4	11	58	177	6422
8088	KCNH3	23	131	42	136	50	55	145	199	118	220	54	142	19157
8089	KCNH4	8	26	11	33	22	22	6	5	5	7	4	7	24388
8090	KCNH5	2	9	3	9	2	4	212	199	127	246	95	195	338667
8091	KCNH6	0	0	1	0	1	2	6	11	6	17	4	18	23396
8092	KCNH7	1	2	1	3	2	1	71	63	41	98	25	79	415502
8093	KCNH8	4	9	1	10	5	5	57	41	25	53	20	45	387120
8094	KCNIP1	97	220	84	194	124	92	1063	1392	609	1301	749	2079	232598
8095	KCNIP2	60	189	76	209	120	164	92	134	71	135	31	134	12215
8096	KCNIP3	17	52	26	62	39	36	478	435	226	328	262	591	39059
8097	KCNIP4	9	15	10	20	13	14	55	38	25	42	32	49	575292
8098	KCNJ1	0	3	0	4	0	1	2	0	0	2	1	2	4522
8099	KCNJ10	0	3	3	1	1	2	4	7	6	6	0	5	32796
8100	KCNJ11	4	23	12	21	72	52	13	25	13	18	13	29	3413
8101	KCNJ12	7	31	7	34	26	31	22	22	22	22	7	18	43482
8102	KCNJ13	0	0	0	0	0	0	0	0	0	0	0	0	10765
8103	KCNJ14	173	590	190	622	301	360	336	596	225	700	159	537	10405
8104	KCNJ15	23	51	19	36	39	24	42	59	9	39	15	30	29408
8105	KCNJ16	133	230	80	183	200	189	0	4	0	0	3	4	30765
8106	KCNJ18	0	0	0	0	0	0	1	1	0	1	0	1	12091
8107	KCNJ2	221	442	186	461	160	160	2	2	0	4	2	3	10511
8108	KCNJ3	0	0	0	0	0	0	0	0	0	0	1	1	1012
8109	KCNJ4	5	18	3	8	4	8	73	99	23	54	131	205	17703
8110	KCNJ5	21	70	43	86	28	36	114	137	108	230	21	72	29833
8111	KCNJ6	184	380	146	353	359	336	123	125	25	68	38	150	292217
8112	KCNJ8	1	8	1	3	0	2	10	25	12	26	4	20	9868
8113	KCNJ9	1	0	0	0	0	0	0	0	0	0	0	0	7854
8114	KCNK1	554	1479	435	1309	903	967	470	646	352	1047	97	309	58510
8115	KCNK10	3	1	0	5	0	0	13	9	7	4	2	8	90805
8116	KCNK12	0	0	0	0	0	1	7	4	8	11	11	30	49558
8117	KCNK13	4	13	3	9	8	7	36	39	13	44	23	64	124094
8118	KCNK15	2	14	5	14	7	9	0	0	0	0	0	0	6468
8119	KCNK16	0	0	0	0	0	0	0	0	0	1	0	0	6385
8120	KCNK17	0	1	1	4	1	0	1	1	3	4	1	11	15461
8121	KCNK18	0	0	0	0	0	0	0	0	0	0	0	0	12812
8122	KCNK2	3	4	3	2	5	2	3	0	0	3	2	3	153878
8123	KCNK3	117	334	138	387	98	159	14	14	10	6	13	20	38487
8124	KCNK4	14	33	30	58	26	25	12	10	7	17	1	7	8023
8125	KCNK5	116	386	150	369	210	228	595	715	356	829	220	628	40506
8126	KCNK6	33	107	41	106	48	69	47	54	24	73	32	61	9172
8127	KCNK7	60	154	44	166	103	113	54	73	39	127	18	67	3143
8128	KCNK9	11	22	7	19	12	12	8	7	11	8	8	19	85937
8129	KCNMB1	1	0	0	0	0	1	3	0	0	3	1	0	11518
8130	KCNMB2	1	4	0	0	1	1	2	4	0	5	0	4	285731
8131	KCNMB3	23	57	21	46	38	26	51	40	28	53	20	60	8853
8132	KCNMB4	56	145	34	125	113	124	73	62	25	72	30	65	68012
8133	KCNN1	17	57	21	68	37	54	33	40	31	50	18	51	47821
8134	KCNN2	2	7	4	13	6	3	10	26	11	20	18	45	62972
8135	KCNN3	7	22	10	20	9	5	10	6	4	10	4	28	162402
8136	KCNN4	106	323	163	446	147	151	476	410	498	762	55	158	14726
8137	KCNQ1	141	481	113	438	267	324	134	181	82	132	56	173	387658
8138	KCNQ2	0	1	0	1	0	1	0	1	1	2	0	1	39000
8139	KCNQ3	349	797	332	732	621	434	550	703	186	521	521	1341	326406
8140	KCNQ4	53	127	56	130	63	85	179	181	110	249	110	322	56442
8141	KCNQ5	116	313	92	289	163	169	1526	1909	617	1934	649	2090	577010
8142	KCNRG	20	60	19	60	37	41	41	59	14	46	11	44	5670
8143	KCNS1	0	0	0	0	0	0	27	44	15	19	21	50	9900
8144	KCNS2	0	1	0	0	0	0	0	0	0	0	0	0	3777
8145	KCNS3	17	38	23	35	30	22	1	1	0	0	2	6	54303
8146	KCNT1	1	6	0	2	5	2	16	16	6	10	8	13	90964
8147	KCNT2	112	304	87	318	138	175	46	47	17	59	13	45	382799
8148	KCNU1	0	0	0	2	0	0	8	6	0	10	0	6	151803
8149	KCNV1	3	4	1	6	6	6	6	8	0	10	4	13	12204
8150	KCNV2	0	1	1	0	1	0	0	1	0	0	0	0	12513
8151	KCP	12	28	22	34	22	20	12	5	4	2	7	17	20774
8152	KCTD1	525	1693	494	1510	1471	1895	198	195	133	271	44	164	93628
8153	KCTD10	219	553	250	572	349	361	276	325	181	398	111	270	28891
8154	KCTD11	70	247	88	272	98	130	65	95	64	179	10	42	3057
8155	KCTD12	27	84	30	98	33	54	39	49	18	70	46	81	6238
8156	KCTD13	269	901	349	976	457	599	220	301	174	340	109	288	19898
8157	KCTD14	10	10	7	13	12	11	120	142	133	159	82	164	7561
8158	KCTD15	286	898	295	958	344	360	211	289	179	403	70	179	18917
8159	KCTD16	13	28	19	32	19	21	127	119	57	147	29	124	306510
8160	KCTD17	82	253	81	213	157	193	109	118	89	175	55	122	11656
8161	KCTD18	145	336	139	344	246	279	251	297	142	247	126	268	21144
8162	KCTD19	26	121	35	125	53	70	55	80	35	65	23	65	37341
8163	KCTD2	173	475	192	490	274	303	277	310	164	383	92	241	18707
8164	KCTD20	167	453	145	453	217	237	648	814	363	967	186	547	48378
8165	KCTD21	248	550	268	609	432	429	288	316	221	393	128	244	17387
8166	KCTD3	220	727	230	649	477	650	463	621	172	567	678	2106	54444
8167	KCTD4	2	0	0	0	1	0	8	11	5	13	3	4	8189
8168	KCTD5	177	644	246	584	309	385	325	464	249	508	152	432	26538
8169	KCTD6	6	28	8	33	8	21	25	26	14	31	6	23	3997
8170	KCTD7	54	212	62	212	100	119	116	152	80	221	38	86	14350
8171	KCTD8	5	6	1	9	3	2	368	541	158	583	174	628	274906
8172	KCTD9	142	405	109	399	209	274	242	313	127	392	80	260	30623
8173	KDELC1	37	87	51	105	38	57	42	27	23	40	15	29	14775
8174	KDELC2	66	210	75	154	136	92	362	403	250	441	141	350	26328
8175	KDELR1	306	779	404	794	507	578	190	181	136	252	91	206	8985
8176	KDELR2	218	895	278	931	441	536	765	1036	482	1099	301	1067	23139
8177	KDELR3	13	49	23	34	21	30	100	106	56	118	42	86	13575
8178	KDF1	0	0	0	0	1	3	13	13	1	2	9	36	10856
8179	KDM1A	246	657	236	583	526	645	354	421	170	418	112	322	64245
8180	KDM1B	21	98	26	94	47	69	59	52	34	77	18	54	68467
8181	KDM2A	326	874	279	757	483	467	452	607	215	660	188	555	18049
8182	KDM2B	583	1579	765	1745	890	947	382	505	296	650	161	396	151365
8183	KDM3A	534	1381	501	1392	710	833	478	589	263	662	138	363	51257
8184	KDM3B	497	1255	477	1203	700	806	412	466	231	560	138	411	84433
8185	KDM4A	394	1050	433	1025	570	646	1454	1651	792	1756	524	1294	55394
8186	KDM4B	1192	3091	1386	3067	1883	2204	1176	1517	718	1599	558	1622	184487
8187	KDM4C	136	413	123	365	213	238	91	103	66	126	25	93	57801
8188	KDM4D	22	66	16	60	38	47	123	131	42	153	54	141	25835
8189	KDM4E	0	0	0	0	0	0	1	0	0	0	0	0	2340
8190	KDM5A	419	1281	491	1351	722	896	685	862	366	953	252	832	109400
8191	KDM5B	480	1166	597	1306	655	807	471	520	301	804	138	346	84287
8192	KDM5C	471	1338	555	1222	790	826	757	891	482	962	334	845	34103
8193	KDM5D	58	175	90	147	85	108	0	0	0	0	0	1	39526
8194	KDM6A	441	1397	466	1333	682	815	1177	1566	489	1608	397	1292	239439
8195	KDM6B	424	1165	716	1459	481	653	348	508	461	740	108	299	14881
8196	KDM7A	241	501	280	520	417	497	152	211	90	304	56	207	92197
8197	KDM8	94	298	94	252	139	184	105	142	47	113	40	130	17795
8198	KDR	1	6	1	3	35	33	36	75	2	8	90	281	47116
8199	KDSR	321	908	315	842	548	494	727	938	402	964	397	1088	39537
8200	KEAP1	237	671	272	742	349	441	283	374	227	471	128	300	16687
8201	KEL	0	0	0	0	0	0	0	0	0	0	0	0	21304
8202	KERA	0	1	0	0	0	0	0	0	0	0	0	0	7865
8203	KHDC1	76	225	92	276	145	128	162	189	98	248	84	218	21884
8204	KHDC1L	0	2	4	1	1	0	1	1	3	2	1	3	1910
8205	KHDC3L	0	0	0	0	0	0	0	0	0	0	0	0	1500
8206	KHDC4	445	1103	379	1067	636	675	839	935	385	1006	313	853	21401
8207	KHDRBS1	223	661	213	639	375	407	472	596	248	703	160	484	30190
8208	KHDRBS2	2	7	0	4	3	0	75	88	40	104	51	71	606269
8209	KHDRBS3	28	90	31	78	46	50	766	887	355	871	539	1223	190147
8210	KHK	28	76	27	78	39	69	14	25	7	18	6	14	14010
8211	KHNYN	504	1430	460	1327	746	931	361	533	221	475	147	441	11409
8212	KHSRP	215	729	256	760	403	513	485	666	341	683	209	628	11709
8213	KIAA0040	38	115	36	125	61	68	193	214	93	187	100	223	35828
8214	KIAA0100	193	441	197	509	233	276	180	264	127	247	102	216	6100
8215	KIAA0232	488	1313	479	1193	902	1024	1045	1286	580	1452	478	1213	101442
8216	KIAA0319	122	305	86	288	100	91	6	40	7	10	6	7	39125
8217	KIAA0319L	371	1011	379	1025	631	739	480	575	287	690	192	543	123948
8218	KIAA0355	296	723	325	774	515	501	237	262	132	314	107	218	101017
8219	KIAA0391	240	703	204	623	408	493	244	327	124	325	107	268	151528
8220	KIAA0408	43	142	42	151	87	88	14	16	6	30	5	24	20986
8221	KIAA0513	15	66	24	44	44	50	19	47	18	31	32	39	16544
8222	KIAA0556	986	2697	979	2500	1639	1823	1049	1160	611	1245	399	1099	230226
8223	KIAA0586	80	295	97	315	146	156	355	403	178	539	113	345	97534
8224	KIAA0753	662	1817	704	1931	1199	1382	555	608	339	724	211	488	62604
8225	KIAA0754	112	351	132	325	86	93	173	234	154	380	45	146	6980
8226	KIAA0825	83	288	100	273	214	262	100	144	45	99	71	173	99393
8227	KIAA0895	92	256	109	281	175	156	112	120	60	151	41	105	43025
8228	KIAA0895L	99	292	112	315	216	181	171	168	98	181	77	182	8380
8229	KIAA0930	311	756	333	784	448	402	198	238	161	321	152	496	20226
8230	KIAA1024	31	94	37	80	55	63	37	67	18	106	11	38	39786
8231	KIAA1024L	0	0	0	0	0	0	0	0	0	1	0	1	16874
8232	KIAA1107	4	15	2	22	6	8	8	13	5	6	5	11	15869
8233	KIAA1109	248	633	204	629	365	408	469	472	179	521	170	462	192158
8234	KIAA1143	67	192	69	179	143	138	222	201	83	212	88	198	12939
8235	KIAA1147	0	0	0	0	0	0	0	1	0	0	1	1	45427
8236	KIAA1191	127	387	129	487	436	274	238	268	138	373	100	258	15748
8237	KIAA1210	3	0	0	2	1	2	16	24	11	11	9	15	71946
8238	KIAA1211	161	388	137	394	244	268	157	128	68	128	57	130	160531
8239	KIAA1211L	41	95	39	100	178	131	2596	2616	294	467	1005	2441	142377
8240	KIAA1217	408	1131	372	1133	403	413	951	1268	467	1198	299	1065	78813
8241	KIAA1257	0	2	0	1	0	1	0	0	0	3	1	2	20963
8242	KIAA1324	12	30	7	32	12	18	128	123	126	239	10	52	20234
8243	KIAA1324L	1	2	1	4	0	0	254	326	129	359	88	271	89071
8244	KIAA1328	144	409	100	379	179	245	281	248	118	260	87	254	396230
8245	KIAA1468	190	672	209	671	393	459	372	419	201	608	135	373	119833
8246	KIAA1522	158	424	172	474	197	256	384	501	334	754	95	256	9338
8247	KIAA1549	681	1682	721	1617	988	1046	835	803	520	1110	239	664	149939
8248	KIAA1549L	38	116	44	88	79	60	128	106	75	113	29	90	131773
8249	KIAA1551	310	928	270	854	512	548	285	339	146	343	102	253	33690
8250	KIAA1586	18	92	19	81	44	51	132	145	59	166	52	138	8494
8251	KIAA1614	72	232	102	219	136	136	50	61	36	87	30	66	32928
8252	KIAA1671	389	1243	385	1165	708	884	1524	2234	794	2143	1037	3325	169476
8253	KIAA1755	66	184	81	171	126	108	372	360	231	408	85	235	50269
8254	KIAA1841	162	487	170	526	254	281	162	165	101	245	66	151	57752
8255	KIAA1958	260	774	272	754	356	436	378	527	211	696	119	387	178345
8256	KIAA2012	29	68	40	56	31	22	5	10	4	6	4	5	131952
8257	KIAA2013	32	101	40	112	51	57	71	87	52	63	33	80	6842
8258	KIAA2026	328	961	367	1046	541	583	345	365	188	507	107	293	88997
8259	KIDINS220	225	674	256	653	398	441	434	513	240	616	178	425	80443
8260	KIF11	190	846	148	754	271	410	785	928	373	1063	269	834	62329
8261	KIF12	18	39	16	37	14	26	0	0	0	1	0	0	7421
8262	KIF13A	127	261	131	314	187	169	164	155	78	166	49	126	37219
8263	KIF13B	655	1796	636	1781	1452	1680	624	642	175	372	451	914	195817
8264	KIF14	133	596	123	526	248	332	655	678	283	892	194	545	67343
8265	KIF15	84	380	83	335	169	224	803	978	394	992	290	862	91541
8266	KIF16B	695	1962	648	1814	1064	1177	533	586	282	618	259	606	206593
8267	KIF17	73	225	76	178	177	194	826	1039	379	695	326	802	54005
8268	KIF18A	213	1070	235	1108	405	588	989	1079	505	1423	358	944	87585
8269	KIF18B	367	1653	451	1537	639	926	1253	1484	834	1722	514	1421	23002
8270	KIF19	1	11	4	7	3	9	21	50	22	46	61	173	29610
8271	KIF1A	8	27	11	30	17	12	477	672	264	749	174	574	106546
8272	KIF1B	188	514	199	573	269	271	323	524	198	724	84	349	97893
